SR_NO,UID,NAME,URL,CATEGORIES,APPLICATION,SERIES,LENGTH,WIDTH,INSPIRATION,FINISH,COLOR,R,G,B,SQ.FT.,MINIMAL,BOHEMIAN,ASIAN,ART_MODERNE,FRENCH_COUNTRY,INDUSTRIAL,COASTAL_TROPICAL
739,1739,SPERENZA GREY,https://varmora.com/product/floor-tiles/sperenza-grey/, DOUBLE CHARGE, WALL & FLOOR, SPERENZA,600,600, MARBLE, GLOSSY, GREY,0.89,0.88,0.84,15.5,0,0,0,0,0,1,0
740,1740,SPERENZA WHITE PLUS,https://varmora.com/product/floor-tiles/sperenza-white-plus/, DOUBLE CHARGE, WALL & FLOOR, SPERENZA,600,600, MARBLE, GLOSSY, WHITE,0.96,0.95,0.91,15.5,1,0,1,0,0,1,0
750,1750,STATUARIO,https://varmora.com/product/floor-tiles/statuario/, GVT, WALL & FLOOR, XTREAM,600,600, MARBLE, GLOSSY, WHITE,0.99,0.99,0.99,15.5,1,0,0,0,0,0,0
757,1757,STEN,https://varmora.com/product/floor-tiles/sten/, GVT, WALL & FLOOR, XTREAM,600,600, PEBBLES, GLOSSY, WHITE,0.85,0.84,0.84,15.5,0,1,0,0,0,0,0
764,1764,STREAM,https://varmora.com/product/floor-tiles/stream/, VITRIFIED, WALL & FLOOR, SASSO,600,600, MARBLE, GLOSSY, IVORY,0.95,0.92,0.87,15.5,1,0,0,0,0,1,0
766,1766,SYBER CASHMIRE,https://varmora.com/product/floor-tiles/syber-cashmire/, GVT, WALL & FLOOR, XTREAM,600,600, MARBLE, GLOSSY, BEIGE,0.87,0.82,0.75,15.5,0,0,0,1,0,0,0
767,1767,TARUM,https://varmora.com/product/floor-tiles/tarum/, GVT, WALL & FLOOR, XTREAM,600,600, GEOMETRIC, GLOSSY, WHITE,0.82,0.81,0.8,15.5,0,1,0,0,0,0,0
773,1773,TECH STONE BLACK,https://varmora.com/product/floor-tiles/tech-stone-black/, FULLBODY, OUTDOOR & INDOOR, TECH STONE DK,600,600, S&P, MATT, BLACK,0.34,0.34,0.34,7.75,1,0,0,0,0,1,0
774,1774,TECH STONE CHOCO,https://varmora.com/product/floor-tiles/tech-stone-choco/, FULLBODY, OUTDOOR & INDOOR, TECH STONE DK,600,600, S&P, MATT, CHOCO,0.51,0.44,0.42,7.75,1,0,0,0,0,1,0
775,1775,TECH STONE GREY,https://varmora.com/product/floor-tiles/tech-stone-grey/, FULLBODY, OUTDOOR & INDOOR, TECH STONE LT,600,600, S&P, MATT, GREY,0.71,0.69,0.7,7.75,1,0,0,0,0,1,0
776,1776,TECH STONE IVORY,https://varmora.com/product/floor-tiles/tech-stone-ivory/, FULLBODY, OUTDOOR & INDOOR, TECH STONE LT,600,600, S&P, MATT, IVORY,0.9,0.86,0.81,7.75,1,0,0,0,0,1,0
777,1777,TELAR,https://varmora.com/product/floor-tiles/telar/, GVT, WALL & FLOOR, XTREAM,600,600, GEOMETRIC, GLOSSY, GREY,0.64,0.64,0.64,15.5,0,1,0,0,0,0,0
779,1779,TERASTONE BEIGE,https://varmora.com/product/floor-tiles/terastone-beige/, FULLBODY, OUTDOOR & INDOOR, TERASTONE LT,600,600, STONE, MATT, BEIGE,0.79,0.71,0.61,15.5,1,0,0,0,0,0,0
780,1780,TERASTONE CHOCO,https://varmora.com/product/floor-tiles/terastone-choco/, FULLBODY, OUTDOOR & INDOOR, TERASTONE DK,600,600, S&P, MATT, CHOCO,0.41,0.36,0.32,15.5,1,0,0,0,0,1,0
781,1781,TERASTONE CREMA,https://varmora.com/product/floor-tiles/terastone-crema/, FULLBODY, OUTDOOR & INDOOR, TERASTONE LT,600,600, STONE, MATT, CREAM,0.93,0.86,0.75,15.5,1,0,0,0,0,1,0
782,1782,TERASTONE NERO,https://varmora.com/product/floor-tiles/terastone-nero/, FULLBODY, OUTDOOR & INDOOR, TERASTONE DK,600,600, S&N, MATT, NERO,0.41,0.41,0.39,15.5,1,0,0,0,0,1,0
783,1783,TERASTONE OLIVE,https://varmora.com/product/floor-tiles/terastone-olive/, FULLBODY, OUTDOOR & INDOOR, TERASTONE LT,600,600, STONE, MATT, OLIVE,0.82,0.8,0.74,15.5,1,0,0,0,0,1,0
784,1784,TERASTONE PEARL,https://varmora.com/product/floor-tiles/terastone-pearl/, FULLBODY, OUTDOOR & INDOOR, TERASTONE LT,600,600, STONE, MATT, PEARL,0.73,0.73,0.71,15.5,1,0,0,0,0,1,0
785,1785,TERASTONE VERDE,https://varmora.com/product/floor-tiles/terastone-verde/, FULLBODY, OUTDOOR & INDOOR, TERASTONE DK,600,600, STONE, MATT, VERDE,0.64,0.64,0.57,15.5,1,0,0,0,0,1,0
786,1786,TERRACOTTA,https://varmora.com/product/floor-tiles/terracotta/, VITRIFIED, WALL & FLOOR, SASSO,600,600, MARBLE, GLOSSY, TERASTONE,0.51,0.34,0.29,15.5,1,0,0,0,0,1,0
792,1792,TIANNA,https://varmora.com/product/floor-tiles/tianna/, GVT, WALL & FLOOR, XTREAM,600,600, FLOWER, GLOSSY, BEIGE,0.93,0.9,0.87,15.5,0,0,1,0,0,0,0
801,1801,TRAVERTINO BEIGE,https://varmora.com/product/floor-tiles/travertino-beige/, GVT, WALL & FLOOR, SUPERBO,600,600, MARBLE, GLOSSY, BEIGE,0.9,0.84,0.73,15.5,0,0,0,0,1,1,0
802,1802,TRAVERTINO GREY,https://varmora.com/product/floor-tiles/travertino-grey/, GVT, WALL & FLOOR, XTREAM,600,600, MARBLE, GLOSSY, GREY,0.83,0.82,0.8,15.5,0,0,0,0,1,1,0
805,1805,TRENZO TUSK,https://varmora.com/product/floor-tiles/trenzo-tusk/, GVT, WALL & FLOOR, SUPERBO,600,600, MARBLE, GLOSSY, TUSK,0.9,0.82,0.71,15.5,0,0,1,1,0,0,0
815,1815,ULTRON BROWN,https://varmora.com/product/floor-tiles/ultron-brown/, GVT, WALL & FLOOR, SUPERBO,600,600, MARBLE, GLOSSY, BROWN,0.65,0.53,0.43,15.5,0,0,1,1,0,0,0
817,1817,ULTRON IVORY,https://varmora.com/product/floor-tiles/ultron-ivory/, GVT, WALL & FLOOR, SUPERBO,600,600, MARBLE, GLOSSY, IVORY,0.93,0.86,0.75,15.5,0,0,1,1,0,0,0
822,1822,VALIAT,https://varmora.com/product/floor-tiles/valiat/, GVT, WALL & FLOOR, ATLAS,600,600, MARBLE, GLOSSY, GREY,0.7,0.68,0.65,15.5,0,1,0,0,0,0,0
825,1825,VERSALITE,https://varmora.com/product/floor-tiles/versalite/, VITRIFIED, WALL & FLOOR, SASSO,600,600, MARBLE, GLOSSY, IVORY,0.91,0.87,0.79,15.5,0,0,1,1,0,0,0
